tag,target,hash_mode,wordlist,rule,recovered,total,recovery_pct,duration_s,cracks_per_s,rc
reference,linkedin_sha1,100,rockyou_v1,norule,31,2000000,0.0015,16.16,1.92,1
reference,linkedin_sha1,100,rockyou_v1,onerule,16939,2000000,0.8469,112.61,150.42,1
reference,linkedin_sha1,100,rockyou_v2,norule,30,2000000,0.0015,6.86,4.37,1
reference,linkedin_sha1,100,rockyou_v2,onerule,15577,2000000,0.7789,99.63,156.34,1
reference,linkedin_sha1,100,rockyou_v3,norule,30,2000000,0.0015,6.89,4.35,1
reference,linkedin_sha1,100,rockyou_v3,onerule,15883,2000000,0.7942,100.72,157.69,1
reference,linkedin_sha1,100,tier1_rx7600__gemma3-4b__moderate,norule,0,2000000,0.0,6.97,0.0,1
reference,linkedin_sha1,100,tier1_rx7600__gemma3-4b__moderate,onerule,13,2000000,0.0006,7.88,1.65,1
reference,linkedin_sha1,100,tier1_rx7600__llama3.1-8b__complex,norule,0,2000000,0.0,6.79,0.0,1
reference,linkedin_sha1,100,tier1_rx7600__llama3.1-8b__complex,onerule,78,2000000,0.0039,8.11,9.62,1
reference,linkedin_sha1,100,tier1_rx7600__llama3.1-8b__moderate,norule,1,2000000,0.0001,6.95,0.14,1
reference,linkedin_sha1,100,tier1_rx7600__llama3.1-8b__moderate,onerule,2377,2000000,0.1188,22.11,107.51,1
reference,linkedin_sha1,100,tier1_rx7600__llama3.1-8b__simple,norule,11,2000000,0.0006,6.86,1.6,1
reference,linkedin_sha1,100,tier1_rx7600__llama3.1-8b__simple,onerule,14876,2000000,0.7438,99.55,149.43,1
reference,linkedin_sha1,100,tier1_rx7600__phi3-mini__simple,norule,0,2000000,0.0,6.9,0.0,1
reference,linkedin_sha1,100,tier1_rx7600__phi3-mini__simple,onerule,264,2000000,0.0132,9.02,29.28,1
reference,linkedin_sha1,100,tier1_rx7600__qwen2.5-7b__complex,norule,0,2000000,0.0,6.87,0.0,1
reference,linkedin_sha1,100,tier1_rx7600__qwen2.5-7b__complex,onerule,1047,2000000,0.0524,13.94,75.12,1
reference,linkedin_sha1,100,tier1_rx7600__qwen2.5-7b__moderate,norule,6,2000000,0.0003,6.89,0.87,1
reference,linkedin_sha1,100,tier1_rx7600__qwen2.5-7b__moderate,onerule,5207,2000000,0.2604,40.13,129.74,1
reference,linkedin_sha1,100,tier1_rx7600__qwen2.5-7b__simple,norule,5,2000000,0.0003,6.91,0.72,1
reference,linkedin_sha1,100,tier1_rx7600__qwen2.5-7b__simple,onerule,4789,2000000,0.2394,37.12,129.0,1
reference,linkedin_sha1,100,tier1_rx7600__qwen3-8b__moderate,norule,8,2000000,0.0004,6.98,1.15,1
reference,linkedin_sha1,100,tier1_rx7600__qwen3-8b__moderate,onerule,7604,2000000,0.3802,55.26,137.61,1
reference,linkedin_sha1,100,tier2_gtx970__phi3-mini__moderate,norule,0,2000000,0.0,6.91,0.0,1
reference,linkedin_sha1,100,tier2_gtx970__phi3-mini__moderate,onerule,1707,2000000,0.0853,18.06,94.52,1
reference,md5_target,0,rockyou_v1,norule,9,1500000,0.0006,10.06,0.89,1
reference,md5_target,0,rockyou_v1,onerule,12655,1500000,0.8437,80.94,156.35,1
reference,md5_target,0,rockyou_v2,norule,22,1500000,0.0015,5.8,3.79,1
reference,md5_target,0,rockyou_v2,onerule,11823,1500000,0.7882,76.19,155.19,1
reference,md5_target,0,rockyou_v3,norule,16,1500000,0.0011,5.71,2.8,1
reference,md5_target,0,rockyou_v3,onerule,11923,1500000,0.7949,76.31,156.25,1
reference,md5_target,0,tier1_rx7600__gemma3-4b__moderate,norule,0,1500000,0.0,5.83,0.0,1
reference,md5_target,0,tier1_rx7600__gemma3-4b__moderate,onerule,9,1500000,0.0006,6.71,1.34,1
reference,md5_target,0,tier1_rx7600__llama3.1-8b__complex,norule,0,1500000,0.0,5.64,0.0,1
reference,md5_target,0,tier1_rx7600__llama3.1-8b__complex,onerule,66,1500000,0.0044,6.76,9.76,1
reference,md5_target,0,tier1_rx7600__llama3.1-8b__moderate,norule,2,1500000,0.0001,5.75,0.35,1
reference,md5_target,0,tier1_rx7600__llama3.1-8b__moderate,onerule,1774,1500000,0.1183,17.85,99.38,1
reference,md5_target,0,tier1_rx7600__llama3.1-8b__simple,norule,4,1500000,0.0003,5.76,0.69,1
reference,md5_target,0,tier1_rx7600__llama3.1-8b__simple,onerule,11293,1500000,0.7529,75.26,150.05,1
reference,md5_target,0,tier1_rx7600__phi3-mini__simple,norule,0,1500000,0.0,5.73,0.0,1
reference,md5_target,0,tier1_rx7600__phi3-mini__simple,onerule,166,1500000,0.0111,7.81,21.25,1
reference,md5_target,0,tier1_rx7600__qwen2.5-7b__complex,norule,4,1500000,0.0003,5.62,0.71,1
reference,md5_target,0,tier1_rx7600__qwen2.5-7b__complex,onerule,768,1500000,0.0512,10.71,71.73,1
reference,md5_target,0,tier1_rx7600__qwen2.5-7b__moderate,norule,7,1500000,0.0005,5.68,1.23,1
reference,md5_target,0,tier1_rx7600__qwen2.5-7b__moderate,onerule,3876,1500000,0.2584,29.9,129.64,1
reference,md5_target,0,tier1_rx7600__qwen2.5-7b__simple,norule,9,1500000,0.0006,5.71,1.58,1
reference,md5_target,0,tier1_rx7600__qwen2.5-7b__simple,onerule,3631,1500000,0.2421,27.9,130.15,1
reference,md5_target,0,tier1_rx7600__qwen3-8b__moderate,norule,3,1500000,0.0002,5.79,0.52,1
reference,md5_target,0,tier1_rx7600__qwen3-8b__moderate,onerule,5834,1500000,0.3889,42.03,138.81,1
reference,md5_target,0,tier2_gtx970__phi3-mini__moderate,norule,1,1500000,0.0001,5.79,0.17,1
reference,md5_target,0,tier2_gtx970__phi3-mini__moderate,onerule,1293,1500000,0.0862,13.85,93.36,1
